Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,7-Day_MA,30-Day_MA,Volatility,RSI,Upper_Band,Lower_Band
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3,-0.00991369792433383,21499.89285714286,21580.283333333333,0.008602966357919916,49.88541606667371,21835.702219870072,21164.083494415645
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85,0.00946004339725226,21514.649999999998,21590.51833333333,0.008759990106415485,52.239148165206956,21883.077600305252,21146.222399694743
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15,-0.0013003033273956133,21532.600000000002,21598.663333333334,0.008763529884035877,51.21990773686118,21925.455058089738,21139.744941910267
2024-02-02,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9,0.007205915902559923,21620.45714285714,21622.118333333332,0.008401226788257459,49.56226862067196,21980.384452317347,21260.529833396933
2024-02-05,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94,-0.003756783717248191,21665.850000000002,21639.340000000004,0.008414773039145947,44.055335776897884,22007.461567915023,21324.23843208498
2024-02-06,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82,0.007243348016002349,21748.25,21658.673333333332,0.008471573628458844,48.40645459281614,22004.963088875556,21491.536911124444
2024-02-07,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76,5.0160971116319786e-05,21775.807142857142,21674.978333333333,0.00844865668275946,58.33416264294393,22066.36784465386,21485.246441060423
2024-02-08,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02,-0.009691981486970147,21803.785714285714,21677.085000000003,0.008474991005081282,55.81672123730798,22004.016936578802,21603.554491992625
2024-02-09,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16,0.0029721958103781088,21811.899999999998,21677.211666666666,0.008427138087956124,53.87677313917035,22001.695723520574,21622.104276479422
2024-02-12,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14,-0.007641455296683142,21800.27142857143,21673.366666666665,0.008535121036406308,51.22129488592124,22028.810964590564,21571.731892552292
2024-02-13,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62,0.005884516366311265,21784.47857142857,21673.411666666667,0.008605446080532438,62.21799711248184,22011.02615919733,21557.930983659815
